bw;delay;average_throughput;average_queue_length;average_max_queue_length;max_measured_queue_length;reward
15.0000000000000000000;5.0000000000000000000;1511574.3999999999068677425;5.3930786157231445088;12.6708711020002358083;22.0000000000000000000;1.4335904832166432854
15.0000000000000000000;5.2020202020202024329;1511574.3999999999068677425;5.0906181236247247668;12.6698852340002439121;22.0000000000000000000;1.4379640619323863504
15.0000000000000000000;5.4040404040404039776;1511574.3999999999068677425;5.0374074814962996882;12.5507939482002548459;21.0000000000000000000;1.4387334878175632724
15.0000000000000000000;5.6060606060606064105;1785231.6000000000931322575;7.0532106421284259667;12.1294587134004441253;22.0000000000000000000;1.6832421741148231309
15.0000000000000000000;5.8080808080808079552;1784364.0000000000000000000;6.8085617123424686525;12.1273286054004465484;22.0000000000000000000;1.6859121976395279319
15.0000000000000000000;6.0101010101010103881;1783207.1999999999534338713;6.6221244248849773228;12.1251993508004467515;22.0000000000000000000;1.6874512808161632460
15.0000000000000000000;6.2121212121212119328;1781761.1999999999534338713;6.3580716143228643844;12.1116963326004576373;22.0000000000000000000;1.6898234844568913449
15.0000000000000000000;6.4141414141414143657;1780893.6000000000931322575;7.2850570114022801249;12.5237125461997145237;22.0000000000000000000;1.6755516756151229707
15.0000000000000000000;6.6161616161616159104;1721607.6000000000931322575;6.8539707941588314810;12.5676854297997380172;22.0000000000000000000;1.6224991823164633953
15.0000000000000000000;6.8181818181818183433;1650464.3999999999068677425;6.3882776555311062694;12.6725041817997556848;22.0000000000000000000;1.5580899051010201894
15.0000000000000000000;7.0202020202020207762;1649018.3999999999068677425;6.1220244048809764337;12.6181675899998850809;22.0000000000000000000;1.5604939271054210082
15.0000000000000000000;7.2222222222222223209;1401374.3999999999068677425;5.4290858171634326368;14.4201088005992605900;23.0000000000000000000;1.3228698190838166227
15.0000000000000000000;7.4242424242424238656;1296105.6000000000931322575;4.7565513102620524677;13.5217425833996003348;23.0000000000000000000;1.2273258680536109910
15.0000000000000000000;7.6262626262626262985;1607863.1999999999534338713;6.1092218443688741658;14.1492915181997886975;23.0000000000000000000;1.5195238521304261781
15.0000000000000000000;7.8282828282828287314;1605830.3999999999068677425;6.0606121224244846601;14.2171715393997519783;21.0000000000000000000;1.5181939487097420027
15.0000000000000000000;8.0303030303030311643;1606669.6000000000931322575;6.2866573314662934635;14.3690922480006495476;22.0000000000000000000;1.5157645349869974805
