bw;delay;average_throughput;average_queue_length;average_max_queue_length;max_measured_queue_length;reward
8.6363636363636366866;15.0000000000000000000;915863.1999999999534338713;640.3096000000000458385;1000.0000000000000000000;1000.0000000000000000000;-8.3430136160000021306
8.8383838383838373431;15.0000000000000000000;939799.1999999999534338713;633.7984000000000150976;1000.0000000000000000000;1000.0000000000000000000;-8.2249256640000005802
9.0404040404040415524;15.0000000000000000000;963581.1999999999534338713;626.7327999999999974534;1000.0000000000000000000;1000.0000000000000000000;-8.0989750879999977684
9.2424242424242422089;15.0000000000000000000;987517.1999999999534338713;620.4876000000000431100;1000.0000000000000000000;1000.0000000000000000000;-7.9847334960000004855
9.4444444444444446418;15.0000000000000000000;1011810.0000000000000000000;614.2395999999999958163;1000.0000000000000000000;1000.0000000000000000000;-7.8700946160000002649
9.6464646464646470747;15.0000000000000000000;1035256.8000000000465661287;608.7279999999999517968;1000.0000000000000000000;1000.0000000000000000000;-7.7669500799999990903
9.8484848484848477312;15.0000000000000000000;1059260.3999999999068677425;603.0081999999999879947;1000.0000000000000000000;1000.0000000000000000000;-7.6602381720000005672
10.0505050505050501641;15.0000000000000000000;1083553.1999999999534338713;596.9692000000000007276;1000.0000000000000000000;1000.0000000000000000000;-7.5486214319999991318
10.2525252525252525970;15.0000000000000000000;1106978.3999999999068677425;592.2193999999999505235;1000.0000000000000000000;1000.0000000000000000000;-7.4565141239999999101
10.4545454545454532536;15.0000000000000000000;1131292.8000000000465661287;587.2319999999999708962;1000.0000000000000000000;1000.0000000000000000000;-7.3600819199999989451
10.6565656565656574628;15.0000000000000000000;1155274.8000000000465661287;582.1004000000000360160;1000.0000000000000000000;1000.0000000000000000000;-7.2618969840000016092
10.8585858585858581193;15.0000000000000000000;1179300.0000000000000000000;577.7093999999999596184;1000.0000000000000000000;1000.0000000000000000000;-7.1743779239999989628
11.0606060606060605522;15.0000000000000000000;1203014.3999999999068677425;573.3114000000000487489;1000.0000000000000000000;1000.0000000000000000000;-7.0870684439999998006
11.2626262626262629851;15.0000000000000000000;1226750.3999999999068677425;569.0291999999999461579;1000.0000000000000000000;1000.0000000000000000000;-7.0014118319999987250
11.4646464646464636417;15.0000000000000000000;1251043.1999999999534338713;564.7745999999999639840;1000.0000000000000000000;1000.0000000000000000000;-6.9155975159999991675
11.6666666666666678509;15.0000000000000000000;1275046.8000000000465661287;560.6746000000000549335;1000.0000000000000000000;1000.0000000000000000000;-6.8323079160000022014
11.8686868686868685074;15.0000000000000000000;1299028.8000000000465661287;556.1352000000000543878;1000.0000000000000000000;1000.0000000000000000000;-6.7426861920000016326
12.0707070707070709403;15.0000000000000000000;1322986.3999999999068677425;552.9955999999999676220;1000.0000000000000000000;1000.0000000000000000000;-6.6733299759999997747
12.2727272727272733732;15.0000000000000000000;1346411.6000000000931322575;549.4740000000000463842;1000.0000000000000000000;1000.0000000000000000000;-6.5989824400000012261
12.4747474747474740298;15.0000000000000000000;1370415.1999999999534338713;545.5739999999999554348;1000.0000000000000000000;1000.0000000000000000000;-6.5185848399999999359
12.6767676767676764626;15.0000000000000000000;1394197.1999999999534338713;542.0855999999999994543;1000.0000000000000000000;1000.0000000000000000000;-6.4443605759999993410
12.8787878787878788955;15.0000000000000000000;1417576.3999999999068677425;539.3428000000000110958;1000.0000000000000000000;1000.0000000000000000000;-6.3813204880000000685
13.0808080808080813284;15.0000000000000000000;1441869.1999999999534338713;535.5850000000000363798;1000.0000000000000000000;1000.0000000000000000000;-6.3026899000000007334
13.2828282828282819850;15.0000000000000000000;1466162.0000000000000000000;532.2776000000000067303;1000.0000000000000000000;1000.0000000000000000000;-6.2305720959999995046
13.4848484848484844179;15.0000000000000000000;1489876.3999999999068677425;529.1444000000000187356;1000.0000000000000000000;1000.0000000000000000000;-6.1615516239999994497
13.6868686868686868507;15.0000000000000000000;1513323.1999999999534338713;526.3152000000000043656;1000.0000000000000000000;1000.0000000000000000000;-6.0971945920000001351
13.8888888888888892836;15.0000000000000000000;1537883.6000000000931322575;523.1921999999999570719;1000.0000000000000000000;1000.0000000000000000000;-6.0274756119999999271
14.0909090909090899402;15.0000000000000000000;1561598.0000000000000000000;520.2694000000000187356;1000.0000000000000000000;1000.0000000000000000000;-5.9614975240000003254
